# index arm charge dw23_bin_center wness_bin_center value uncertainty
342 0 0 -0.292500 0.712500 0.055598 8.690482
343 0 0 -0.292500 0.717500 0.057187 8.695105
344 0 0 -0.292500 0.722500 0.058519 8.699677
345 0 0 -0.292500 0.727500 0.059589 8.704205
346 0 0 -0.292500 0.732500 0.060394 8.708703
347 0 0 -0.292500 0.737500 0.060932 8.713202
348 0 0 -0.292500 0.742500 0.061199 8.717747
349 0 0 -0.292500 0.747500 0.061195 8.722401
350 0 0 -0.292500 0.752500 0.060919 8.727253
351 0 0 -0.292500 0.757500 0.060372 8.732412
352 0 0 -0.292500 0.762500 0.059555 8.738021
353 0 0 -0.292500 0.767500 0.058469 8.744252
354 0 0 -0.292500 0.772500 0.057117 8.751313
355 0 0 -0.292500 0.777500 0.055503 8.759455
356 0 0 -0.292500 0.782500 0.053629 8.768971
357 0 0 -0.292500 0.787500 0.051501 8.780206
358 0 0 -0.292500 0.792500 0.049124 8.793556
359 0 0 -0.292500 0.797500 0.046503 8.809476
360 0 0 -0.292500 0.802500 0.043647 8.828488
361 0 0 -0.292500 0.807500 0.040560 8.851177
362 0 0 -0.292500 0.812500 0.037252 8.878204
363 0 0 -0.292500 0.817500 0.033730 8.910311
364 0 0 -0.292500 0.822500 0.030004 8.948320
365 0 0 -0.292500 0.827500 0.026082 8.993143
366 0 0 -0.292500 0.832500 0.021975 9.045788
367 0 0 -0.292500 0.837500 0.017692 9.107359
368 0 0 -0.292500 0.842500 0.013244 9.179065
369 0 0 -0.292500 0.847500 0.008642 9.262224
370 0 0 -0.292500 0.852500 0.003898 9.358268
371 0 0 -0.292500 0.857500 -0.000977 9.468746
372 0 0 -0.292500 0.862500 -0.005971 9.595327
373 0 0 -0.292500 0.867500 -0.011072 9.739807
374 0 0 -0.292500 0.872500 -0.016268 9.904112
375 0 0 -0.292500 0.877500 -0.021545 10.090298
376 0 0 -0.292500 0.882500 -0.026891 10.300557
377 0 0 -0.292500 0.887500 -0.032294 10.537217
378 0 0 -0.292500 0.892500 -0.037740 10.802747
379 0 0 -0.292500 0.897500 -0.043216 11.099752
380 0 0 -0.292500 0.902500 -0.048710 11.430982
381 0 0 -0.292500 0.907500 -0.054208 11.799325
382 0 0 -0.292500 0.912500 -0.059698 12.207810
383 0 0 -0.292500 0.917500 -0.065166 12.659604
