index arm charge wness_bin_center dw23_bin_center entries
139 0 0 0.090000 0.090000 16
140 0 0 0.090000 0.110000 13
141 0 0 0.090000 0.130000 12
142 0 0 0.090000 0.150000 5
143 0 0 0.090000 0.170000 4
144 0 0 0.090000 0.190000 0
145 0 0 0.090000 0.210000 1
146 0 0 0.090000 0.230000 1
147 0 0 0.090000 0.250000 0
148 0 0 0.090000 0.270000 0
149 0 0 0.090000 0.290000 0
150 0 0 0.110000 -0.290000 0
151 0 0 0.110000 -0.270000 2
152 0 0 0.110000 -0.250000 0
153 0 0 0.110000 -0.230000 0
154 0 0 0.110000 -0.210000 2
155 0 0 0.110000 -0.190000 4
156 0 0 0.110000 -0.170000 5
157 0 0 0.110000 -0.150000 13
158 0 0 0.110000 -0.130000 12
159 0 0 0.110000 -0.110000 20
160 0 0 0.110000 -0.090000 35
161 0 0 0.110000 -0.070000 56
162 0 0 0.110000 -0.050000 90
163 0 0 0.110000 -0.030000 85
164 0 0 0.110000 -0.010000 75
165 0 0 0.110000 0.010000 60
166 0 0 0.110000 0.030000 51
167 0 0 0.110000 0.050000 39
168 0 0 0.110000 0.070000 23
169 0 0 0.110000 0.090000 18
170 0 0 0.110000 0.110000 7
171 0 0 0.110000 0.130000 6
172 0 0 0.110000 0.150000 4
173 0 0 0.110000 0.170000 5
174 0 0 0.110000 0.190000 4
175 0 0 0.110000 0.210000 1
176 0 0 0.110000 0.230000 1
177 0 0 0.110000 0.250000 0
178 0 0 0.110000 0.270000 0
179 0 0 0.110000 0.290000 0
180 0 0 0.130000 -0.290000 0
181 0 0 0.130000 -0.270000 0
182 0 0 0.130000 -0.250000 0
183 0 0 0.130000 -0.230000 0
184 0 0 0.130000 -0.210000 2
185 0 0 0.130000 -0.190000 2
186 0 0 0.130000 -0.170000 0
187 0 0 0.130000 -0.150000 6
188 0 0 0.130000 -0.130000 15
189 0 0 0.130000 -0.110000 18
190 0 0 0.130000 -0.090000 32
191 0 0 0.130000 -0.070000 44
192 0 0 0.130000 -0.050000 71
193 0 0 0.130000 -0.030000 82
194 0 0 0.130000 -0.010000 86
195 0 0 0.130000 0.010000 42
196 0 0 0.130000 0.030000 42
197 0 0 0.130000 0.050000 40
198 0 0 0.130000 0.070000 20
199 0 0 0.130000 0.090000 15
200 0 0 0.130000 0.110000 4
201 0 0 0.130000 0.130000 7
202 0 0 0.130000 0.150000 6
203 0 0 0.130000 0.170000 1
204 0 0 0.130000 0.190000 0
205 0 0 0.130000 0.210000 1
206 0 0 0.130000 0.230000 2
207 0 0 0.130000 0.250000 0
208 0 0 0.130000 0.270000 0
209 0 0 0.130000 0.290000 0
210 0 0 0.150000 -0.290000 0
211 0 0 0.150000 -0.270000 0
212 0 0 0.150000 -0.250000 0
213 0 0 0.150000 -0.230000 2
214 0 0 0.150000 -0.210000 1
215 0 0 0.150000 -0.190000 0
216 0 0 0.150000 -0.170000 4
217 0 0 0.150000 -0.150000 10
218 0 0 0.150000 -0.130000 8
219 0 0 0.150000 -0.110000 13
220 0 0 0.150000 -0.090000 18
221 0 0 0.150000 -0.070000 58
222 0 0 0.150000 -0.050000 60
223 0 0 0.150000 -0.030000 78
224 0 0 0.150000 -0.010000 66
225 0 0 0.150000 0.010000 44
226 0 0 0.150000 0.030000 29
227 0 0 0.150000 0.050000 21
228 0 0 0.150000 0.070000 18
229 0 0 0.150000 0.090000 12
230 0 0 0.150000 0.110000 8
231 0 0 0.150000 0.130000 4
232 0 0 0.150000 0.150000 2
233 0 0 0.150000 0.170000 3
234 0 0 0.150000 0.190000 1
235 0 0 0.150000 0.210000 2
236 0 0 0.150000 0.230000 0
237 0 0 0.150000 0.250000 0
238 0 0 0.150000 0.270000 0
239 0 0 0.150000 0.290000 0
240 0 0 0.170000 -0.290000 0
241 0 0 0.170000 -0.270000 1
242 0 0 0.170000 -0.250000 1
243 0 0 0.170000 -0.230000 0
244 0 0 0.170000 -0.210000 1
245 0 0 0.170000 -0.190000 3
246 0 0 0.170000 -0.170000 3
247 0 0 0.170000 -0.150000 7
248 0 0 0.170000 -0.130000 7
249 0 0 0.170000 -0.110000 20
250 0 0 0.170000 -0.090000 28
251 0 0 0.170000 -0.070000 37
252 0 0 0.170000 -0.050000 55
253 0 0 0.170000 -0.030000 55
254 0 0 0.170000 -0.010000 38
255 0 0 0.170000 0.010000 45
256 0 0 0.170000 0.030000 29
257 0 0 0.170000 0.050000 20
258 0 0 0.170000 0.070000 11
259 0 0 0.170000 0.090000 18
260 0 0 0.170000 0.110000 5
261 0 0 0.170000 0.130000 2
262 0 0 0.170000 0.150000 0
263 0 0 0.170000 0.170000 2
264 0 0 0.170000 0.190000 2
265 0 0 0.170000 0.210000 3
266 0 0 0.170000 0.230000 0
267 0 0 0.170000 0.250000 2
268 0 0 0.170000 0.270000 0
269 0 0 0.170000 0.290000 0
270 0 0 0.190000 -0.290000 0
271 0 0 0.190000 -0.270000 1
272 0 0 0.190000 -0.250000 1
273 0 0 0.190000 -0.230000 0
274 0 0 0.190000 -0.210000 1
275 0 0 0.190000 -0.190000 0
276 0 0 0.190000 -0.170000 1
277 0 0 0.190000 -0.150000 4
278 0 0 0.190000 -0.130000 2
279 0 0 0.190000 -0.110000 7
280 0 0 0.190000 -0.090000 27
281 0 0 0.190000 -0.070000 34
282 0 0 0.190000 -0.050000 57
283 0 0 0.190000 -0.030000 58
284 0 0 0.190000 -0.010000 46
285 0 0 0.190000 0.010000 41
286 0 0 0.190000 0.030000 29
287 0 0 0.190000 0.050000 13
288 0 0 0.190000 0.070000 18
289 0 0 0.190000 0.090000 6
290 0 0 0.190000 0.110000 8
291 0 0 0.190000 0.130000 3
292 0 0 0.190000 0.150000 2
293 0 0 0.190000 0.170000 1
294 0 0 0.190000 0.190000 2
295 0 0 0.190000 0.210000 0
296 0 0 0.190000 0.230000 0
297 0 0 0.190000 0.250000 0
298 0 0 0.190000 0.270000 0
299 0 0 0.190000 0.290000 0
300 0 0 0.210000 -0.290000 1
301 0 0 0.210000 -0.270000 1
302 0 0 0.210000 -0.250000 1
303 0 0 0.210000 -0.230000 2
304 0 0 0.210000 -0.210000 1
305 0 0 0.210000 -0.190000 1
306 0 0 0.210000 -0.170000 1
307 0 0 0.210000 -0.150000 3
308 0 0 0.210000 -0.130000 10
309 0 0 0.210000 -0.110000 14
310 0 0 0.210000 -0.090000 21
311 0 0 0.210000 -0.070000 27
312 0 0 0.210000 -0.050000 52
313 0 0 0.210000 -0.030000 61
314 0 0 0.210000 -0.010000 43
315 0 0 0.210000 0.010000 44
316 0 0 0.210000 0.030000 26
317 0 0 0.210000 0.050000 17
318 0 0 0.210000 0.070000 11
319 0 0 0.210000 0.090000 10
320 0 0 0.210000 0.110000 3
321 0 0 0.210000 0.130000 1
322 0 0 0.210000 0.150000 3
323 0 0 0.210000 0.170000 2
324 0 0 0.210000 0.190000 2
325 0 0 0.210000 0.210000 1
326 0 0 0.210000 0.230000 1
327 0 0 0.210000 0.250000 1
328 0 0 0.210000 0.270000 1
329 0 0 0.210000 0.290000 1
330 0 0 0.230000 -0.290000 0
331 0 0 0.230000 -0.270000 0
332 0 0 0.230000 -0.250000 0
333 0 0 0.230000 -0.230000 1
334 0 0 0.230000 -0.210000 0
335 0 0 0.230000 -0.190000 2
336 0 0 0.230000 -0.170000 3
337 0 0 0.230000 -0.150000 6
338 0 0 0.230000 -0.130000 7
339 0 0 0.230000 -0.110000 10
340 0 0 0.230000 -0.090000 15
341 0 0 0.230000 -0.070000 27
